time real imag
1848 -0.497115875580505 -0.497115875580505
1849 -0.5899952347651327 -0.5899952347651327
1850 -0.6756412850519049 -0.6756412850519049
1851 -0.7530040106082987 -0.7530040106082987
1852 -0.8211349487042231 -0.8211349487042231
1853 -0.8791988178124348 -0.8791988178124348
1854 -0.9264837581138876 -0.9264837581138876
1855 -0.9624100588596091 -0.9624100588596091
1856 -0.9865372655924786 -0.9865372655924786
1857 -0.998569580094368 -0.998569580094368
1858 -0.9983594868559665 -0.9983594868559665
1859 -0.9859095616087398 -0.9859095616087398
1860 -0.9613724397466044 -0.9613724397466044
1861 -0.925048945024468 -0.925048945024468
1862 -0.8773844014756144 -0.8773844014756144
1863 -0.8189631737637784 -0.8189631737637784
1864 -0.7505015029047218 -0.7505015029047218
1865 -0.6728387251909672 -0.6728387251909672
1866 -0.5869269819755305 -0.5869269819755305
1867 -0.4938195464714856 -0.4938195464714856
1868 -0.39465791068083395 -0.39465791068083395
1869 -0.290657790765666 -0.290657790765666
1870 -0.18309422243553466 -0.18309422243553466
1871 -0.07328592908006962 -0.07328592908006962
1872 0.037420845706543755 0.037420845706543755
1873 0.147668842997541 0.147668842997541
1874 0.2561064284529264 0.2561064284529264
1875 0.36140416328144365 0.36140416328144365
1876 0.4622711030866563 0.4622711030866563
1877 0.5574706247735873 0.5574706247735873
1878 0.6458355874796172 0.6458355874796172
1879 0.7262826416565592 0.7262826416565592
1880 0.7978255108762216 0.7978255108762216
1881 0.8595870835248313 0.8595870835248313
1882 0.910810166142726 0.910810166142726
1883 0.9508667665742939 0.9508667665742939
1884 0.9792657931170354 0.9792657931170354
1885 0.9956590752785727 0.9956590752785727
1886 0.9998456323276439 0.9998456323276439
1887 0.9917741373067235 0.9917741373067235
1888 0.9715435462976818 0.9715435462976818
1889 0.9394018852256989 0.9394018852256989
1890 0.8957432090751742 0.8957432090751742
1891 0.8411027707973977 0.8411027707973977
1892 0.7761504591390819 0.7761504591390819
1893 0.7016825858434109 0.7016825858434109
1894 0.6186121229121095 0.6186121229121095
1895 0.5279575096193859 0.5279575096193859
1896 0.4308301665027941 0.4308301665027941
1897 0.3284208694089231 0.3284208694089231
1898 0.22198515064759747 0.22198515064759747
1899 0.11282790623531569 0.11282790623531569
1900 0.002287397942256259 0.002287397942256259
1901 -0.10828115372290245 -0.10828115372290245
1902 -0.21752218444120858 -0.21752218444120858
1903 -0.32409640522698746 -0.32409640522698746
1904 -0.4266972220367017 -0.4266972220367017
1905 -0.5240667545393635 -0.5240667545393635
1906 -0.6150112576599259 -0.6150112576599259
1907 -0.6984157568276026 -0.6984157568276026
1908 -0.77325771750243 -0.77325771750243
1909 -0.8386195813921516 -0.8386195813921516
1910 -0.8937000156658782 -0.8937000156658782
1911 -0.9378237372503863 -0.9378237372503863
1912 -0.9704497917630955 -0.9704497917630955
1913 -0.9911781855828832 -0.9911781855828832
1914 -0.9997547897496732 -0.9997547897496732
1915 -0.996074455571449 -0.996074455571449
1916 -0.9801823037413768 -0.9801823037413768
1917 -0.952273171160612 -0.952273171160612
1918 -0.9126892222486946 -0.9126892222486946
1919 -0.8619157540266739 -0.8619157540266739
1920 -0.8005752464025727 -0.8005752464025727
1921 -0.7294197306021373 -0.7294197306021373
1922 -0.6493215693077712 -0.6493215693077712
1923 -0.5612627615401764 -0.5612627615401764
1924 -0.46632290340494664 -0.46632290340494664
1925 -0.36566595230404253 -0.36566595230404253
1926 -0.26052595688243063 -0.26052595688243063
1927 -0.15219192766020653 -0.15219192766020653
1928 -0.04199203383494403 -0.04199203383494403
1929 0.06872267999918658 0.06872267999918658
1930 0.178594857583138 0.178594857583138
1931 0.28627747210562227 0.28627747210562227
1932 0.39045034067731155 0.39045034067731155
1933 0.4898363096996643 0.4898363096996643
1934 0.5832169126975716 0.5832169126975716
1935 0.6694473086506932 0.6694473086506932
1936 0.7474703176810673 0.7474703176810673
1937 0.8163293820197061 0.8163293820197061
1938 0.8751802933520187 0.8751802933520187
1939 0.9233015427648568 0.9233015427648568
1940 0.9601031664058901 0.9601031664058901
1941 0.9851339784077734 0.9851339784077734
1942 0.9980871024018318 0.9980871024018318
1943 0.9988037338053821 0.9988037338053821
1944 0.9872750867571155 0.9872750867571155
1945 0.9636425018312577 0.9636425018312577
1946 0.9281957132099707 0.9281957132099707
1947 0.881369296558336 0.881369296558336
1948 0.8237373411507211 0.8237373411507211
1949 0.7560064115681483 0.7560064115681483
1950 0.6790068852556439 0.6790068852556439
1951 0.5936827721406869 0.5936827721406869
1952 0.5010801411239062 0.5010801411239062
1953 0.40233429533225085 0.40233429533225085
1954 0.2986558533654277 0.2986558533654277
1955 0.19131590717918595 0.19131590717918595
1956 0.08163043856808704 0.08163043856808704
1957 -0.02905581469824502 -0.02905581469824502
1958 -0.13938584528583256 -0.13938584528583256
1959 -0.24800701313092274 -0.24800701313092274
1960 -0.35358762873233207 -0.35358762873233207
1961 -0.45483327959104636 -0.45483327959104636
1962 -0.5505026996355976 -0.5505026996355976
1963 -0.6394229870754328 -0.6394229870754328
1964 -0.7205039841119595 -0.7205039841119595
1965 -0.7927516422126526 -0.7927516422126526
1966 -0.8552802090910232 -0.8552802090910232
1967 -0.9073230879806636 -0.9073230879806636
1968 -0.9482422360691153 -0.9482422360691153
1969 -0.9775359868673473 -0.9775359868673473
1970 -0.9948452006131776 -0.9948452006131776
1971 -0.9999576673048641 -0.9999576673048641
1972 -0.9928107083839482 -0.9928107083839482
1973 -0.9734919451709203 -0.9734919451709203
1974 -0.9422382246326886 -0.9422382246326886
1975 -0.8994327156518928 -0.8994327156518928
1976 -0.8456002113975646 -0.8456002113975646
1977 -0.7814006953900686 -0.7814006953900686
1978 -0.7076212501395757 -0.7076212501395757
1979 -0.6251664075581693 -0.6251664075581693
1980 -0.5350470594486075 -0.5350470594486075
1981 -0.4383680640269423 -0.4383680640269423
1982 -0.33631470042193357 -0.33631470042193357
1983 -0.23013813721849927 -0.23013813721849927
